Code	18 dots	20 dots	24 dots	26 dots
2921	7	7	9	9
2922	9	10	12	13
2923	13	14	17	18
2924	11	12	14	15
2925	15	17	20	22
2926	14	15	18	19
2927	7	7	8	9
2928	8	9	11	12
2929	8	9	11	12
292A	11	12	15	16
292B	11	12	14	15
292C	7	7	8	9
292D	11	12	14	15
292E	7	7	8	9
292F	11	12	15	16
2930	11	12	14	15
2931	9	10	12	13
2932	11	12	14	15
2933	11	12	14	15
2934	11	12	14	15
2935	11	12	14	15
2936	11	12	14	15
2937	11	12	14	15
2938	11	12	14	15
2939	11	12	14	15
293A	7	7	8	9
293B	7	7	8	9
293C	9	10	12	13
293D	11	12	14	15
293E	9	10	12	13
293F	10	11	13	15
2940	15	17	20	22
2941	13	14	17	18
2942	12	13	16	17
2943	13	14	17	18
2944	12	13	16	17
2945	11	12	14	15
2946	11	12	14	15
2947	13	14	17	18
2948	12	13	16	17
2949	8	8	11	12
294A	11	12	14	16
294B	12	13	16	17
294C	11	12	15	15
294D	15	16	19	21
294E	12	13	16	17
294F	13	14	17	18
2950	11	12	15	16
2951	13	14	17	18
2952	12	13	16	17
2953	11	12	15	16
2954	13	14	17	18
2955	12	13	16	17
2956	13	14	17	18
2957	15	16	19	21
2958	12	13	16	17
2959	13	14	17	18
295A	11	12	15	16
295B	8	9	11	12
295C	11	12	14	15
295D	8	9	11	12
295E	8	9	11	12
295F	9	10	12	13
2960	8	9	11	12
2961	12	13	15	16
2962	11	12	14	15
2963	12	13	15	16
2964	11	12	14	15
2965	12	13	15	16
2966	10	11	13	14
2967	12	14	16	17
2968	11	12	14	15
2969	6	6	7	7
296A	9	10	12	13
296B	11	12	14	15
296C	6	6	7	7
296D	14	16	19	21
296E	11	12	14	15
296F	12	13	15	16
2970	11	12	14	15
2971	11	12	14	15
2972	9	10	11	12
2973	11	12	14	15
2974	10	11	13	14
2975	11	12	14	15
2976	12	13	15	16
2977	15	16	19	20
2978	11	12	14	15
2979	11	12	15	16
297A	11	12	14	15
297B	9	10	12	13
297C	8	8	10	10
297D	9	10	12	13
297E	9	10	12	13
