Abraham Lincoln         \\Lincoln\inbound
Bill Clinton            \\Clinton\inbound
Calvin Coolidge         \\Coolidge\inbound
Dwight Eisenhower       \\Eisenhower\inbound
Franklin Roosevelt      \\Roosevelt\inbound
George Bush             \\Bush\inbound
George Washington       \\Washington\inbound
Gerald Ford             \\Ford\inbound
Harry Truman            \\Truman\inbound
Herbert Hoover          \\Hoover\inbound
Jimmy Carter            \\Carter\inbound
John Kennedy            \\Kennedy\inbound
Lyndon Johnson          \\Johnson\inbound
Richard Nixon           \\Nixon\inbound
Ronald Reagan           \\Reagan\inbound
Teddy Roosevelt         \\Roosevelt\inbound
William Taft            \\Taft\inbound
Woodrow Wilson          \\Wilson\inbound
