Element Name,Windows NT,Windows,Windows CE,Win32s,Component,Component Version,Header File,Import Library,Unicode,Element Type
ADsBuildEnumerator,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsBuildVarArrayInt,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsBuildVarArrayStr,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsEnumerateNext,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsFreeEnumerator,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsGetLastError,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsGetObject,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsOpenObject,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsSetLastError,4.0 or later,,,,ADSI,,adshlp.h,,,function
IADs::Get,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::GetInfo,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::GetInfoEx,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADs::Put,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::SetInfo,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::SetInfoEx,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADsClass::Qualifiers,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::Add,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::GetObject,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::Remove,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsComputerOperations,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsComputerOperations::Shutdown,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::CopyHere,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::Create,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::Delete,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::GetObject,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::MoveHere,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsFileServiceOperations::Resources,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsFileServiceOperations::Sessions,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Add,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::IsMember,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Members,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Remove,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsMembers::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsOpenDSObject::OpenDSObject,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintJobOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintJobOperations::Resume,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::PrintJobs,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Purge,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Resume,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsProperty::Qualifiers,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Continue,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::SetPassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Start,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Stop,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::ChangePassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::Groups,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::SetPassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
ADSI Collection Object,4.0 or later,,,,ADSI,,,,,object
ADSI Computer Object,4.0 or later,,,,ADSI,,,,,object
ADSI Container Object,4.0 or later,,,,ADSI,,,,,object
ADSI Country Object,4.0 or later,,,,ADSI,,,,,object
ADSI Domain Object,4.0 or later,,,,ADSI,,,,,object
ADSI Enumerator Object,4.0 or later,,,,ADSI,,,,,object
ADSI FileShare Object,4.0 or later,,,,ADSI,,,,,object
ADSI Group Object,4.0 or later,,,,ADSI,,,,,object
ADSI Locality Object,4.0 or later,,,,ADSI,,,,,object
ADSI Members Object,4.0 or later,,,,ADSI,,,,,object
ADSI Namespace Object,4.0 or later,,,,ADSI,,,,,object
ADSI Namespaces Object,4.0 or later,,,,ADSI,,,,,object
ADSI Object,4.0 or later,,,,ADSI,,,,,object
ADSI Organization Object,4.0 or later,,,,ADSI,,,,,object
ADSI OrganizationalUnit Object,4.0 or later,,,,ADSI,,,,,object
ADSI PrintJob Object,4.0 or later,,,,ADSI,,,,,object
ADSI PrintQueue Object,4.0 or later,,,,ADSI,,,,,object
ADSI Property Object,4.0 or later,,,,ADSI,,,,,object
ADSI Resource Object,4.0 or later,,,,ADSI,,,,,object
ADSI Schema Class Object,4.0 or later,,,,ADSI,,,,,object
ADSI Schema Container Object,4.0 or later,,,,ADSI,,,,,object
ADSI Service Object,4.0 or later,,,,ADSI,,,,,object
ADSI Session Object,4.0 or later,,,,ADSI,,,,,object
ADSI Syntax Object,4.0 or later,,,,ADSI,,,,,object
ADSI User Object,4.0 or later,,,,ADSI,,,,,object
BPCVid.BlackedOut,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CAFail,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CAFault,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CannotPurchase,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CardInvalid,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CardMissing,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CASuccess,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Click,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.ColdStart,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CopyCard,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CostExceeded,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.DblClick,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.EPGFilterChanged,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Error,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.ErrorMessage,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.GotControl,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.HandlePurchaseOffer,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyDown,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyPress,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyUp,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.LostControl,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.MouseDown,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.MouseMove,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.MouseUp,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.NewEmail,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.NoSubscriber,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.NotReady,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.OSDRequest,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.PasswordCleared,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.RatingExceeded,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Ready,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Retry,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.RevokeEvent,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.SignalLost,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.StateChange,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.TapingControlChanged,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.TuningChanged,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
EnhCtrl.DisplayOverlay,,Windows 98,,,Broadcast Architecture,,,Entrig.dll,,event
EnhCtrl.HideOverlay,,Windows 98,,,Broadcast Architecture,,,Entrig.dll,,event
EnhCtrl.OnNewOverlay,,Windows 98,,,Broadcast Architecture,,,Entrig.dll,,event
EnhCtrl.OnRemoveOverlay,,Windows 98,,,Broadcast Architecture,,,Entrig.dll,,event
BpcAdapterCaps,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcAdapterSpecific,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcBufferReturn,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcClose,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcCloseConnection,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcCommitConnections,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcCommitState,,Windows 98,,,Broadcast Architecture,,,Msbpc.dll,,function
BPCCompleteCommand,,Windows 98,,,Broadcast Architecture,,Bpcmini.h,BPCMini.lib,,function
BpcConnectionStatus,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcDeviceCaps,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcDeviceSettings,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcEnableConnection,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcEnableNoCollect,,Windows 98,,,Broadcast Architecture,,,Msbpc.dll,,function
BpcEnumAdapters,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcEnumDevices,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BPCFreeMemory,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
BPCGetCurrentConnectionForDevice,,Windows 98,,,Broadcast Architecture,,Bpcconn.h,BPCMini.lib,,function
BpcGetLastError,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BPCGetNewConnectionForDevice,,Windows 98,,,Broadcast Architecture,,Bpcconn.h,BPCMini.lib,,function
BPCIndicateStatus,,Windows 98,,,Broadcast Architecture,,Bpcmini.h,BPCMini.lib,,function
BpcIoControl,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BPCListCount,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListCreate,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListDelete,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListGet,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListIsrGet,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListIsrPop,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListIsrPush,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListIsrPut,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListIsrRemoveEntry,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListPop,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListPush,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListPut,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BPCListRemoveEntry,,Windows 98,,,Broadcast Architecture,,Bpclist.h,BPCMini.lib,,function
BpcOpen,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcOpenConnection,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcPoolFree,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcPoolInformation,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcPoolReserve,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcProgramGuide,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcProviderSpecific,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcReceive,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BpcRetuneConnection,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BPCSetCurrentConnectionForDevice,,Windows 98,,,Broadcast Architecture,,Bpcconn.h,BPCMini.lib,,function
BpcUnsolicitedEvent,,Windows 98,,,Broadcast Architecture,,Bpc.h,Msbpc.dll,,function
BPCUpdateMpg,,Windows 98,,,Broadcast Architecture,,Bpcmini.h,BPCMini.lib,,function
CardDisableInterrupt,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
CardEnableInterrupt,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
CardHalt,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
CardHandleInterrupt,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
CardIsr,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
ConnectionFromDevice,,Windows 98,,,Broadcast Architecture,,Bpcconn.h,BPCMini.lib,,function
FreeDFPFrame,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
IndicateDFPFrame,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
IsPermitted,,Windows 98,,,Broadcast Architecture,,Tssqsec.h,Tssqsec.dll,,function
Login,,Windows 98,,,Broadcast Architecture,,Tssqsec.h,Tssqsec.dll,,function
Logout,,Windows 98,,,Broadcast Architecture,,Tssqsec.h,Tssqsec.dll,,function
msbdnBridgeReportEvent,5.0 or later,,,,Broadcast Architecture,,Bridge.h,Bdnapi.lib,,function
msbdnOutputCreate,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputDestroy,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputFreeBuffer,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputGetStatus,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputGetValue,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputGetValueCount,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputSendPacket,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
msbdnOutputSetValue,5.0 or later,,,,Broadcast Architecture,,Bridge.h,user-defined,,function
NsBPCAllocate,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
NsCardCreateDataDevice,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardCreateTuner,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardDisableTuner,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardEnableTuner,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardEntry,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardExtensionCommand,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardGetMPG,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardInitialize,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardSetInterrupts,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardSetMemoryRanges,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardSetPortRanges,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardSetSubSCIDs,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardStartDataStream,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardStopDataStream,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsCardTune,,Windows 98,,,Broadcast Architecture,,user-defined,user-defined,,function
NsGetDFPPhysicalBuffer,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
PacketBufferComplete,5.0 or later,,,,Broadcast Architecture,,Packet.h,Bdnapi.lib,,function
UnmapDFPFrame,,Windows 98,,,Broadcast Architecture,,Bpcmem.h,BPCMini.lib,,function
IBitmaskProperty::IBitmaskProperty,,Windows 98,,,Broadcast Architecture,,Icodec.h,Icodec.lib,,interface method
IEPGEpisode::AbbreviatedTitle,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::CallLetters,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::ChannelID,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::EpisodeID,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::HasEnhancement,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsContinuous,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsListGuideItem,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsOnLater,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsOnSoon,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsPurchasable,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsPurchaseItem,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
IEPGEpisode::IsRecordItem,,Windows 98,,,Broadcast Architecture,,Itvx.h,user-defined,,interface method
